y,v,u,z
3.00000007229339,-6.8128879863885e-09,6.420427107914321e-10,3.00000007229339
3.00000006606725,-6.2261400796415265e-09,5.867479067469732e-10,3.00000006606725
3.000000060377325,-5.689924802970934e-09,5.362152766705928e-10,3.000000060377325
3.0000000551774346,-5.199890098751575e-09,4.900347042193592e-10,3.0000000551774346
3.000000050425376,-4.752058762985473e-09,4.478313357661018e-10,3.000000050425376
3.0000000460825795,-4.342796125966495e-09,4.092626370189784e-10,3.0000000460825795
3.000000042113799,-3.9687804874666075e-09,3.7401563849988757e-10,3.000000042113799
3.0000000384868226,-3.626976308554994e-09,3.418041789116133e-10,3.0000000384868226
3.000000035172213,-3.3146093857415633e-09,3.1236692281343106e-10,3.000000035172213
3.0000000321430687,-3.0291445193859326e-09,2.8546486635563066e-10,3.0000000321430687
3.000000029374804,-2.7682648189356296e-09,2.60879700450303e-10,3.000000029374804
3.000000026844951,-2.5298529255783978e-09,2.3841189335723194e-10,3.000000026844951
3.0000000245329774,-2.311973839458047e-09,2.178790861203507e-10,3.0000000245329774
3.000000022420118,-2.1128592000942095e-09,1.9911463936383758e-10,3.000000022420118
3.0000000204892254,-1.930892944269551e-09,1.8196625582465832e-10,3.0000000204892254
3.000000018724627,-1.7645982260883734e-09,1.6629471818117765e-10,3.000000018724627
3.000000017112002,-1.612625329495785e-09,1.5197289659258838e-10,3.000000017112002
3.0000000156382614,-1.4737408472722234e-09,1.3888448222356157e-10,3.0000000156382614
3.000000014291444,-1.346817542726504e-09,1.269233045457193e-10,3.000000014291444
3.000000013060619,-1.230825287755809e-09,1.1599225497069495e-10,3.000000013060619
3.0000000119357964,-1.12482264701517e-09,1.0600264074063921e-10,3.0000000119357964
3.000000010907847,-1.027949306577464e-09,9.687334043770586e-11,3.000000010907847
3.000000009968428,-9.394189964380684e-10,8.853031013939574e-11,3.000000009968428
3.0000000091099146,-8.585131817836952e-10,8.090581465437318e-11,3.0000000091099146
3.0000000083253395,-7.845752489524249e-10,7.393793283127027e-11,3.0000000083253395
3.0000000076083344,-7.170051117202839e-10,6.7570137232141e-11,3.0000000076083344
3.00000000695308,-6.552543161741709e-10,6.175079554611305e-11,3.00000000695308
3.000000006354258,-5.988216820105124e-10,5.643263416365853e-11,3.000000006354258
3.0000000058070087,-5.472492088369527e-10,5.15724731735597e-11,3.0000000058070087
3.0000000053068905,-5.001183279397726e-10,4.713088089718006e-11,3.0000000053068905
3.000000004849844,-4.570465373317931e-10,4.3071790607979513e-11,3.000000004849844
3.00000000443216,-4.1768422608682785e-10,3.9362311244965244e-11,3.00000000443216
3.000000004050448,-3.817119224147756e-10,3.597230367205227e-11,3.000000004050448
3.00000000370161,-3.4883765314247764e-10,3.287426927229795e-11,3.00000000370161
3.0000000033828154,-3.18794611663113e-10,3.004304147936462e-11,3.0000000033828154
3.0000000030914764,-2.9133897729421726e-10,2.7455634368895752e-11,3.0000000030914764
3.0000000028252285,-2.66247926514325e-10,2.5091050779892215e-11,3.0000000028252285
3.0000000025819107,-2.433177969115853e-10,2.2930129602739754e-11,3.0000000025819107
3.000000002359548,-2.223624817106718e-10,2.095531520091348e-11,3.000000002359548
3.000000002156336,-2.032118991505628e-10,1.9150582560109002e-11,3.000000002156336
3.0000000019706254,-1.8571061588253505e-10,1.7501283268027742e-11,3.0000000019706254
3.0000000018009088,-1.6971662350334636e-10,1.599399237918868e-11,3.0000000018009088
3.000000001645809,-1.5510007466229125e-10,1.4616548841055127e-11,3.000000001645809
3.0000000015040666,-1.4174236804835139e-10,1.3357706613939866e-11,3.0000000015040666
3.0000000013745316,-1.295350746202794e-10,1.2207293428071976e-11,3.0000000013745316
3.0000000012561525,-1.1837909789686378e-10,1.1155976723415632e-11,3.0000000012561525
3.0000000011479684,-1.0818390905913854e-10,1.0195188837725243e-11,3.0000000011479684
3.0000000010491017,-9.886674250203512e-11,9.317166557103422e-12,3.0000000010491017
3.0000000009587495,-9.035202411361629e-11,8.514718388418831e-12,3.0000000009587495
3.000000000876179,-8.257060338146044e-11,7.781420732155855e-12,3.000000000876179
3.00000000080072,-7.545937483446136e-11,7.1112285469990745e-12,3.00000000080072
3.0000000007317595,-6.89605854183483e-11,6.4987894161130575e-12,3.0000000007317595
